total_pnl,wallet
64894628.37,6P2XrFUBfm6qGSadmopSMovtqNDN5hWj3JJ3bqjaL2NP
62952178.64,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
50242894.75,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
37703260.97,7EXNiL85uAxSYpY3vzei61VM2Bu7mkgD8LqyD2QqJguY
34631717.93,3kjF7ZXfMYo1dqxFNE7WVtQ38zZSciptu1deWYibre1m
34005334.91,4VYpbeyGwS9WocLxTBkNKtiBgn5WV5qRam4HdHLBxvUR
33148965.79,3Vwrp1bYFvScBztiTtErHD1LQxcMzWEmgboCe5XyUYAd
33021008.54,8Q3p7w5x1PXyy99kPxEsgrdkp1ExtCyUAzGeXGqMXL8E
31233252.4,FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j
30877549.94,4rKhMmSDMQ7aheSXz47AxsR9iSoVFKTV2c24BXn782Ey
28176672.58,5MNizMzFryXZC5JPxdH9ugfgmJcyLBKxENiGRAZygBRS
25680776.43,FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3
25021263.47,js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw
24558262.65,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
24196292.62,4U7RCa8R7UZcNz3KUSexmrcMdFMd9WgQqqxb8rX7ffRB
23869003.97,7XpcowtypeJyCRJAgyQmYR4xAgdnykPJXum5b4a843YJ
21526269.6,9Z1Jtf9tp32rLCPE3HgX4uyCEVArLN7DCrnSFdN5LYhy
20066665.62,8QaDxsrvMUJ8CU9zQoZbcgzLfRGEPGqA2G9pckJGNywn
19916589.26,JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy
19893795.56,3SCcDZ4kdJ3PJgW5gB72ebhfG3Kacfq5FF8bfUBQGcx3
19118769.43,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
17578282.32,2h7s3FpSvc6v2oHke6Uqg191B5fPCeFTmMGnh5oPWhX7
17109242.22,ChycTN6GmzoBpbsFchKSgohxod3V3Ax7TMkTykJPzP6W
16412532.13,J8ZWHVX5CjZWcHb1fqNVSiwjRy21WFj8mxvFDddjbHxv
16271751.45,GB4PGoxJ5qaxmkdfBCxhw5Pcfet5Y5CpeMXdPwyBoj2R
16145113.9,DjsZvDXowchiF4HzyodUVJwBmTcxLd1Wpqax3Q7Ddu3A
15909840.21,BZqgZXLcQ9WRmiSWK5gh1TRPxL9iEtpuJh6F1RssQLRj
15831194.86,DrvR5Xn84VJ2HABTP3SnFi3V4W7EpZS6djoJC7HATeTg
15165675.73,JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k
14477561.19,6Tywitb3HtTYqP8UkCHm8CUVLHwRufS4j2gYraYZnr1v
13223970.71,JD1dHSqYkrXvqUVL8s6gzL1yB7kpYymsHfwsGxgwp55h
12469828.81,4AxgR7W17m6QKwX2Pqybw3ANqDfMSPKuDdAsxC6VPmZA
12279210.91,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
12160379.97,NyvjHeuATcGPEYTDaqGjNefuDgU5KoMCAys9BvaWT9b
12063087.98,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
11307488.3,3MnLctUvd7QUpvsP36caPT8rTj7QtM6VaJUYEFP3LH5B
10407216.23,HuFFg4HRXA2b8T4wSMHbFoFw9uh1AUzi8ofYJrpmHLMy
10059267.29,DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc
9805986.33,7iQ7aX4zDK2bSyj5RkQP3upgKt5foVCv9c5A6sHxddZV
9717134.99,CNRFEckxZhq7M39GCsfr1WYu1LLVbc6caWpQCZnhzYwz
9619923.87,FcDVLLKgpg6VkupLnHgXtEzyatdpmePi3Gu5fHhK4o8U
9129324.13,4Jpef1sPVwFaQmWhDVaoHcY66nmSmbLd2fXgVW59wJqL
8910445.8,6vXh86CR7zMyyFAQLPtxY8AWxvdm5nrXp8a5TiH8XVS8
8766771.22,5nstXoqdi46pp8GhAgQx1qTEvUgUS66sDzesjTbRVchH
8738316.3,2bZuV31edRz9Cwzo41WY1f26LWUDt6LUvzVNt5r7F7qH
8537804.77,FQYAQe4Eb46MPBXjDQa8FrFr5YRL6Jn6bmZRcGkjPeGf
8530191.2,BZZCKSroav9fcFQw1WXs5sQBJGTEUbgmK9CC4qn7r3BP
8466807.01,J865X6P4QDE7xp5JmkuPhyeRHZqddnVKR9pZiAJtZEAm
8401163.55,6K2CJbTsSDtNBtNRtetkayNAdd7oFTDZiJrcb2nkWnmZ
