wallet,total_pnl,first_seen,last_seen
6P2XrFUBfm6qGSadmopSMovtqNDN5hWj3JJ3bqjaL2NP,64894628.37,2024-12-04,2024-12-04
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,1621920.81,2024-12-04,2024-12-04
7EXNiL85uAxSYpY3vzei61VM2Bu7mkgD8LqyD2QqJguY,37703260.97,2024-12-04,2024-12-04
3kjF7ZXfMYo1dqxFNE7WVtQ38zZSciptu1deWYibre1m,34631717.93,2024-12-04,2024-12-04
4VYpbeyGwS9WocLxTBkNKtiBgn5WV5qRam4HdHLBxvUR,34005334.91,2024-12-04,2024-12-04
3Vwrp1bYFvScBztiTtErHD1LQxcMzWEmgboCe5XyUYAd,33148965.79,2024-12-04,2024-12-04
8Q3p7w5x1PXyy99kPxEsgrdkp1ExtCyUAzGeXGqMXL8E,33021008.54,2024-12-04,2024-12-04
FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,1072734.04,2024-12-04,2024-12-04
4rKhMmSDMQ7aheSXz47AxsR9iSoVFKTV2c24BXn782Ey,30877549.94,2024-12-04,2024-12-04
5MNizMzFryXZC5JPxdH9ugfgmJcyLBKxENiGRAZygBRS,28176672.58,2024-12-04,2024-12-04
FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3,2040614.85,2024-12-04,2024-12-04
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,25021263.47,2024-12-04,2024-12-04
4U7RCa8R7UZcNz3KUSexmrcMdFMd9WgQqqxb8rX7ffRB,24196292.62,2024-12-04,2024-12-04
7XpcowtypeJyCRJAgyQmYR4xAgdnykPJXum5b4a843YJ,23869003.97,2024-12-04,2024-12-04
9Z1Jtf9tp32rLCPE3HgX4uyCEVArLN7DCrnSFdN5LYhy,21526269.6,2024-12-04,2024-12-04
8QaDxsrvMUJ8CU9zQoZbcgzLfRGEPGqA2G9pckJGNywn,20066665.62,2024-12-04,2024-12-04
JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy,1876855.72,2024-12-04,2024-12-04
3SCcDZ4kdJ3PJgW5gB72ebhfG3Kacfq5FF8bfUBQGcx3,19893795.56,2024-12-04,2024-12-04
2h7s3FpSvc6v2oHke6Uqg191B5fPCeFTmMGnh5oPWhX7,17578282.32,2024-12-04,2024-12-04
ChycTN6GmzoBpbsFchKSgohxod3V3Ax7TMkTykJPzP6W,17109242.22,2024-12-04,2024-12-04
J8ZWHVX5CjZWcHb1fqNVSiwjRy21WFj8mxvFDddjbHxv,1144628.49,2024-12-04,2024-12-04
GB4PGoxJ5qaxmkdfBCxhw5Pcfet5Y5CpeMXdPwyBoj2R,16271751.45,2024-12-04,2024-12-04
DjsZvDXowchiF4HzyodUVJwBmTcxLd1Wpqax3Q7Ddu3A,16145113.9,2024-12-04,2024-12-04
BZqgZXLcQ9WRmiSWK5gh1TRPxL9iEtpuJh6F1RssQLRj,15909840.21,2024-12-04,2024-12-04
DrvR5Xn84VJ2HABTP3SnFi3V4W7EpZS6djoJC7HATeTg,15831194.86,2024-12-04,2024-12-04
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,1003268.03,2024-12-04,2024-12-04
6Tywitb3HtTYqP8UkCHm8CUVLHwRufS4j2gYraYZnr1v,14477561.19,2024-12-04,2024-12-04
JD1dHSqYkrXvqUVL8s6gzL1yB7kpYymsHfwsGxgwp55h,1716370.31,2024-12-04,2024-12-04
4AxgR7W17m6QKwX2Pqybw3ANqDfMSPKuDdAsxC6VPmZA,12469828.81,2024-12-04,2024-12-04
NyvjHeuATcGPEYTDaqGjNefuDgU5KoMCAys9BvaWT9b,12160379.97,2024-12-04,2024-12-04
3MnLctUvd7QUpvsP36caPT8rTj7QtM6VaJUYEFP3LH5B,11307488.3,2024-12-04,2024-12-04
HuFFg4HRXA2b8T4wSMHbFoFw9uh1AUzi8ofYJrpmHLMy,10407216.23,2024-12-04,2024-12-04
7iQ7aX4zDK2bSyj5RkQP3upgKt5foVCv9c5A6sHxddZV,9805986.33,2024-12-04,2024-12-04
CNRFEckxZhq7M39GCsfr1WYu1LLVbc6caWpQCZnhzYwz,9717134.99,2024-12-04,2024-12-04
FcDVLLKgpg6VkupLnHgXtEzyatdpmePi3Gu5fHhK4o8U,9619923.87,2024-12-04,2024-12-04
4Jpef1sPVwFaQmWhDVaoHcY66nmSmbLd2fXgVW59wJqL,9129324.13,2024-12-04,2024-12-04
6vXh86CR7zMyyFAQLPtxY8AWxvdm5nrXp8a5TiH8XVS8,8910445.8,2024-12-04,2024-12-04
5nstXoqdi46pp8GhAgQx1qTEvUgUS66sDzesjTbRVchH,8766771.22,2024-12-04,2024-12-04
2bZuV31edRz9Cwzo41WY1f26LWUDt6LUvzVNt5r7F7qH,1083337.66,2024-12-04,2024-12-04
FQYAQe4Eb46MPBXjDQa8FrFr5YRL6Jn6bmZRcGkjPeGf,8537804.77,2024-12-04,2024-12-04
BZZCKSroav9fcFQw1WXs5sQBJGTEUbgmK9CC4qn7r3BP,8530191.2,2024-12-04,2024-12-04
J865X6P4QDE7xp5JmkuPhyeRHZqddnVKR9pZiAJtZEAm,8466807.01,2024-12-04,2024-12-04
6K2CJbTsSDtNBtNRtetkayNAdd7oFTDZiJrcb2nkWnmZ,8401163.55,2024-12-04,2024-12-04
8JQmzzb3VqWWtHb3Vd2jcZXML6S6tran7HGpQ9emFZCF,8372244.86,2024-12-04,2024-12-04
9s5mGsk786TVMWcxTsaUYE8G8Mtwdq6hdbJHMVHKuwRE,8090236.68,2024-12-04,2024-12-04
Aw4mqCCzte1mEsutsd2XEp7uP7hPCdM4qqJykRTUi8HJ,8037943.12,2024-12-04,2024-12-04
2giqGx48fcYrnJBWFd78g358MRMHTkGLW35onb7MLGZT,7908678.2,2024-12-04,2024-12-04
AQ8QbR55xh6sv3JVP8kdW64gCGp62Hun3cxqDwGtA4R8,6497162.85,2024-12-04,2024-12-04
6KVyzB7Sxx2Rnk7J8ZEhBZPbKyiRq3tPY9YNhtCjcems,7857739.2,2024-12-04,2024-12-04
G2uYtgLsLfLCncWNyZZd7kotqL4h9HFSLeaqYmX4mhts,7544502.45,2024-12-04,2024-12-04
6CGE94QaRXJ5R6ekE6TF4dxWyZg7tr9VD8gqxZgLg12R,7525863.47,2024-12-04,2024-12-04
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,7448505.97,2024-12-04,2024-12-04
7HGwBPjoGBqHnSPqv2JF9QnySKuojmUKgH8hiHYGesQA,1014354.04,2024-12-04,2024-12-04
8aUkiVYbBhwetmpbbiykiLYnAScsDbqWpRPrubBcMDND,7404868.86,2024-12-04,2024-12-04
7zp53pV8CCuwLSei1jiQXCtK8w3eqtkUGYoh63KMsBXw,7347435.63,2024-12-04,2024-12-04
HW2WU2i93vTFurADDyoq6dFNL7ai8CefKMQUBxXUhQqE,4737842.19,2024-12-04,2024-12-04
5BSH8QKXthgLH2r3cazW4Jf38DHvzqqVjQSkNJVHptyy,7199957.96,2024-12-04,2024-12-04
BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88,4246651.11,2024-12-04,2024-12-04
AKyT2CWEsvsZo2g2zGtQMwBN5BFdNxWFxo6vGPhuB6Ym,7059853.05,2024-12-04,2024-12-04
DCAKxn5PFNN1mBREPWGdk1RXg5aVH9rPErLfBFEi2Emb,6939459.03,2024-12-04,2024-12-04
7CzQeAEcjBDoG2HjapQzg2MYR6HZ9EA7FCdATz1Ui54h,6896694.53,2024-12-04,2024-12-04
DCAKuApAuZtVNYLk3KTAVW9GLWVvPbnb5CxxRRmVgcTr,6881454.48,2024-12-04,2024-12-04
D4uCNcBKAbG9NAkmhQg7pBiztuejNzbWrZDcZmFGut81,6861472.13,2024-12-04,2024-12-04
HYWo71Wk9PNDe5sBaRKazPnVyGnQDiwgXCFKvgAQ1ENp,1110718.2,2024-12-04,2024-12-04
3nDAuoB7KN8BWnWwQNzKZhRTjv13kPSN3bqxmC9ZAE3W,6800651.55,2024-12-04,2024-12-04
6bKUguaAgYYbxwvzg7ge4vNTHtrVTmKBSfJRWVvNwAPr,6772616.31,2024-12-04,2024-12-04
HoJScktcrdbUXazMU1oggQ3b9hqEFi2fd3UCppfZVym6,6674255.95,2024-12-04,2024-12-04
EUES49UdAkevnREj5YShNXpWjX5DN44uCJQo7yfaggot,6516843.35,2024-12-04,2024-12-04
DCAK36VfExkPdAkYUQg6ewgxyinvcEyPLyHjRbmveKFw,6351838.04,2024-12-04,2024-12-04
FUCtc9NkQXWKFDJyA4Xjkvm1CdYNEnvTZkXpThNexnij,6281825.05,2024-12-04,2024-12-04
