wallet_address,total_pnl,category,trading_style,token_count,patterns,last_analyzed
6P2XrFUBfm6qGSadmopSMovtqNDN5hWj3JJ3bqjaL2NP,68218331.62,Mega Whale,Super Diversified,103,"Pump Specialist (86 tokens, 146,511,942 volume) | Whale Positions (19 large holdings)",2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,62952178.64,Mega Whale,Super Diversified,177,"Pump Specialist (131 tokens, 1,373,857,468 volume) | Whale Positions (127 large holdings)",2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,50242894.75,Mega Whale,Unknown,0,None Detected,2024-12-03
4VYpbeyGwS9WocLxTBkNKtiBgn5WV5qRam4HdHLBxvUR,49512021.69,Mega Whale,Unknown,0,None Detected,2024-12-03
7EXNiL85uAxSYpY3vzei61VM2Bu7mkgD8LqyD2QqJguY,37752192.19,Mega Whale,Unknown,0,None Detected,2024-12-03
3kjF7ZXfMYo1dqxFNE7WVtQ38zZSciptu1deWYibre1m,36225916.42,Mega Whale,Unknown,0,None Detected,2024-12-03
8Q3p7w5x1PXyy99kPxEsgrdkp1ExtCyUAzGeXGqMXL8E,34506440.25,Mega Whale,Unknown,0,None Detected,2024-12-03
FTg1gqW7vPm4kdU1LPM7JJnizbgPdRDy2PitKw6mY27j,33550496.72,Mega Whale,Unknown,0,None Detected,2024-12-03
4rKhMmSDMQ7aheSXz47AxsR9iSoVFKTV2c24BXn782Ey,33182272.57,Mega Whale,Unknown,0,None Detected,2024-12-03
3Vwrp1bYFvScBztiTtErHD1LQxcMzWEmgboCe5XyUYAd,33148965.79,Mega Whale,Unknown,0,None Detected,2024-12-03
5MNizMzFryXZC5JPxdH9ugfgmJcyLBKxENiGRAZygBRS,29473644.16,Mega Whale,Unknown,0,None Detected,2024-12-03
FKy2QyHNz2H7K8c4pZnifdP3ogrG4JujwNEB5bTzFEL3,27605211.35,Mega Whale,Unknown,0,None Detected,2024-12-03
js5Lja7zP5RCcTTpdNPB2SwRcUemBYJK8bZio4chzyw,26863072.31,Mega Whale,Unknown,0,None Detected,2024-12-03
4U7RCa8R7UZcNz3KUSexmrcMdFMd9WgQqqxb8rX7ffRB,25308043.79,Mega Whale,Unknown,0,None Detected,2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,24558262.65,Mega Whale,Unknown,0,None Detected,2024-12-03
7XpcowtypeJyCRJAgyQmYR4xAgdnykPJXum5b4a843YJ,24523593.4,Mega Whale,Unknown,0,None Detected,2024-12-03
9Z1Jtf9tp32rLCPE3HgX4uyCEVArLN7DCrnSFdN5LYhy,23134357.59,Mega Whale,Unknown,0,None Detected,2024-12-03
8QaDxsrvMUJ8CU9zQoZbcgzLfRGEPGqA2G9pckJGNywn,21564842.82,Mega Whale,Unknown,0,None Detected,2024-12-03
3SCcDZ4kdJ3PJgW5gB72ebhfG3Kacfq5FF8bfUBQGcx3,21384584.47,Mega Whale,Unknown,0,None Detected,2024-12-03
JD25qVdtd65FoiXNmR89JjmoJdYk9sjYQeSTZAALFiMy,20470922.54,Mega Whale,Unknown,0,None Detected,2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,19118769.43,Mega Whale,Unknown,0,None Detected,2024-12-03
2h7s3FpSvc6v2oHke6Uqg191B5fPCeFTmMGnh5oPWhX7,18884268.12,Mega Whale,Unknown,0,None Detected,2024-12-03
ChycTN6GmzoBpbsFchKSgohxod3V3Ax7TMkTykJPzP6W,18386617.52,Mega Whale,Unknown,0,None Detected,2024-12-03
J8ZWHVX5CjZWcHb1fqNVSiwjRy21WFj8mxvFDddjbHxv,17637968.71,Mega Whale,Unknown,0,None Detected,2024-12-03
GB4PGoxJ5qaxmkdfBCxhw5Pcfet5Y5CpeMXdPwyBoj2R,17087648.29,Mega Whale,Unknown,0,None Detected,2024-12-03
BZqgZXLcQ9WRmiSWK5gh1TRPxL9iEtpuJh6F1RssQLRj,17062249.22,Mega Whale,Unknown,0,None Detected,2024-12-03
DrvR5Xn84VJ2HABTP3SnFi3V4W7EpZS6djoJC7HATeTg,17013617.62,Mega Whale,Unknown,0,None Detected,2024-12-03
JD38n7ynKYcgPpF7k1BhXEeREu1KqptU93fVGy3S624k,15598514.9,Mega Whale,Unknown,0,None Detected,2024-12-03
6Tywitb3HtTYqP8UkCHm8CUVLHwRufS4j2gYraYZnr1v,15558465.71,Mega Whale,Unknown,0,None Detected,2024-12-03
4AxgR7W17m6QKwX2Pqybw3ANqDfMSPKuDdAsxC6VPmZA,13400829.23,Mega Whale,Unknown,0,None Detected,2024-12-03
