wallet_address,total_pnl,category,trading_style,token_count,patterns,last_analyzed
6P2XrFUBfm6qGSadmopSMovtqNDN5hWj3JJ3bqjaL2NP,68218331.62,Mega Whale,Super Diversified,103,"Pump Specialist (86 tokens, 146,511,942 volume) | Whale Positions (19 large holdings)",2024-12-03
DbJpiVvBV5SoTEde7fys8H9VGoqnRqbNKySH6t55DFHc,62952178.64,Mega Whale,Super Diversified,177,"Pump Specialist (131 tokens, 1,373,857,468 volume) | Whale Positions (127 large holdings)",2024-12-03
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,7500777.82,Whale,Super Diversified,426,"Pump Specialist (190 tokens, 500,618,444 volume) | Whale Positions (107 large holdings)",2024-12-03
BH84Uo2YAnyWRUWeWyfFzttRmE51V682xUaD6NrLHM88,7460778.18,Whale,Super Diversified,299,"Pump Specialist (215 tokens, 885,138,407 volume) | Whale Positions (84 large holdings)",2024-12-03
8bsHpmidKupAbZ7jcgAwUiciEdSZy47dRwMifiQwueVT,4929542.99,Large Trader,Highly Diversified,57,"Pump Specialist (33 tokens, 164,243,690 volume) | Whale Positions (26 large holdings)",2024-12-03
xNCuHejZur3Mcj6RuQTdkZWJgRiYpwdwHMGutkZHN9Q,3716995.72,Large Trader,Focused Trader,13,"Pump Specialist (5 tokens, 25,478,512 volume) | Whale Positions (8 large holdings)",2024-12-03
kCVKJ3nuDH1twVXUJCWXsnPTswiHgEV3heYhd1g81E2,3678006.98,Large Trader,Super Diversified,188,"Pump Specialist (84 tokens, 2,184,240 volume) | Whale Positions (8 large holdings)",2024-12-03
9UL9RxgufT5ZQY163gHjRrfbhXxrBtGFv25tJjZHKtVK,3033068.83,Large Trader,Concentrated Trader,5,"Pump Specialist (3 tokens, 3,391,738 volume) | Whale Positions (1 large holdings)",2024-12-03
6r3WKowwoqYkG4P2zVvX1aNBrg8Da1NZpHT9QxQy9w57,3028746.94,Large Trader,Super Diversified,237,"Pump Specialist (199 tokens, 215,021,654 volume) | Whale Positions (85 large holdings)",2024-12-03
CSiZG5sBsNDgLmbEH54hfLNAn3f3JXVsTqU1LzZTD3KX,2555569.63,Large Trader,Moderately Diversified,30,"Pump Specialist (6 tokens, 228,979 volume)",2024-12-03
TyC6ttYUr2BVyTPxPpzKqdbpuJbquT6VXMsYVDwK2HF,2536234.65,Large Trader,Super Diversified,198,"Pump Specialist (47 tokens, 46,476,511 volume) | Whale Positions (14 large holdings)",2024-12-03
3JPYL9xEPFjefV3tccrUwhLzME1mMq2dQSDeDebgzQi6,2167304.24,Large Trader,Super Diversified,225,"Pump Specialist (130 tokens, 154,262,172 volume) | Meme Trader (1 tokens) | Whale Positions (31 large holdings)",2024-12-03
39adstx8GYc6i6iZ5YrjBmgfYaFgu6SyQmtZT9RvwUHk,2164340.81,Large Trader,Focused Trader,6,"Pump Specialist (3 tokens, 449,201 volume)",2024-12-03
6W35UtyP6hiHFWbW5Kn5zbMJBptwtkgv3h3akvDAHy22,1860353.54,Large Trader,Concentrated Trader,1,"Pump Specialist (1 tokens, 160,228,334 volume) | Whale Positions (1 large holdings)",2024-12-03
G5WdNYEwF3iePH4ALBD21A9j1fYDiejEg6AxvSb97Ajr,1860010.57,Large Trader,Highly Diversified,60,"Pump Specialist (18 tokens, 101,758,948 volume) | Whale Positions (27 large holdings)",2024-12-03
DCRSAhR9Q4RVSKX19oc2Zq7j8qCw3V4X632etRRX8Lr4,1668475.22,Large Trader,Highly Diversified,78,"Pump Specialist (45 tokens, 18,850,815 volume) | Whale Positions (6 large holdings)",2024-12-03
6tRZkbqwy99hWuExk8TnKYpUHHcQ6jb4FjnNwjh4RkHY,1494070.66,Large Trader,Super Diversified,112,"Pump Specialist (57 tokens, 67,968,211 volume) | Whale Positions (5 large holdings)",2024-12-03
4afXtExJUx3cfqkCLbnDN6KyvZDPL8VC2Mv2gknHjazH,1491436.24,Large Trader,Concentrated Trader,1,"Pump Specialist (1 tokens, 925,505 volume)",2024-12-03
9ghBDMWQSwtxHjDVxenrcS8evpY7Mgr8FGdjLBskS6DN,1352070.06,Large Trader,Concentrated Trader,1,"Pump Specialist (1 tokens, 1,000 volume)",2024-12-03
VX1YqY3APMP2mgz2Ghen1Avf7VdqTYbn8auGTgzPMA2,1351435.82,Large Trader,Concentrated Trader,1,"Pump Specialist (1 tokens, 141,335 volume)",2024-12-03
EKDB7EyLPD7a2Mqo7Kh8Y4aR7gD26VErY3yj41eZjwCJ,1209543.31,Large Trader,Super Diversified,676,"Pump Specialist (319 tokens, 222,420,576 volume) | Meme Trader (1 tokens) | Whale Positions (31 large holdings)",2024-12-03
AvB7rAtbhm5Ftu2hz54FhfEG7obrcFJRMFFox6W99Emc,1205784.58,Large Trader,Super Diversified,112,"Pump Specialist (44 tokens, 48,281,114 volume) | Whale Positions (13 large holdings)",2024-12-03
HTn7WXL3MdffjDkRSgDcaCY8h4MncLW8WZaXMVaqYQgS,1098504.96,Large Trader,Highly Diversified,68,"Pump Specialist (11 tokens, 1,696,040 volume) | Whale Positions (4 large holdings)",2024-12-03
DogKbap8voKSGhVVuTYMy22Lnv3deMG1vqJpUGs7BPEp,1098212.46,Large Trader,Focused Trader,19,"Pump Specialist (5 tokens, 11,554,992 volume) | Whale Positions (8 large holdings)",2024-12-03
