token,frequency
5UpMDmSLiafvuaR81rJxg1GUSvfdSQRidc3ikiGxpump,0
HqLd8CCvUHv9EVqCawxx8FXFidVdpvto5oFyvJrwmewg,0
8bujsbeDsVnVBaSRC7Pv9X5QCgC9iuaoWVYjQqqfpump,0
87LL58GQGADysM94adrtVPynjbPDGYET31DyuHbSpump,0
9YX6TR6X6gCmMhyVyZ43WX5hW6NahNXUqGm8d4wdxQKW,0
Aguk171Z31xw2ZGYNkA54MCrLRKBieFK7RRXuHDQpump,0
9JhFqCA21MoAXs2PTaeqNQp2XngPn1PgYr2rsEVCpump,0
3ptmioNatCLNtgCsYwFGELd3NZRkZEx1RtihbqgKczjd,0
C2CP86r9E5sKMThrCXGDqj7fZ4FvrMUUUGNgUq1bpump,0
NHY1mdDQEvoyGtGFK8GH68vCcP6QkYxzSnEDaywpump,0
J9G8q9YCqgCriHnrVTpp7xmCrQumXgqfGcWfBpogyK5n,0
DcgDYp2AbHzCSsdhxTds887uk98wtTTA9fd2DLzNi6UZ,0
Grass7B4RdKfBCjTKgSqnXkqjwiGvQyFbuSCUJr3XXjs,0
AnqSsN9NzthUHtxtUTeQhr3pqRv9ZfoanFVDp5adpump,0
J2Wi1h9sd2dyavLvyoq6zY1fUk52ND9XyE3sVkV6pump,0
EV4md7bT9hz2pkrzgXtAxBubbtGX69s1zDha3fsxbQeM,0
ALTDjSfdTtDdeByWeS8TsgJGaYoPJJwZzaWymDzqCgzw,0
7W1knvmSYmnKdT4yPPwapnJpHAvAE5Hmt7azkUaspump,0
GawRq5FmvHfUvQW2BbM7FL9RAvDC217wQzmrYARCpump,0
ED7V7JwufQJiPfFi5TMRkenZ9WSgEF5G2zdYkehrpump,0
KnvKe4e3B5iycZs4tcqg8AXNgxeANq3wHcRYxXspump,0
C9HzKtyvZ1mgZQw7uXT3gBfxmQr2iKYiTFSvSuv1pump,0
DtBpYYwZuQXGKeeaHUamxrBckJWc3Dm2mbKAaGRGDKuj,0
8pDajezgfVP6yTAVAgLkosTE4PKCQyc9mpHdPiqvpump,0
4x12aP2kGwzTyExwkfxJGSYe3HpbhGa9RSTuiQvSo7Xi,0
DogCDqfM8hHbMWNPzcPBL7KZxADiv97gQ1vZp8HjF58q,0
CUMhhBy9hFCioPZ2py5KvQBERwCqGUtqpFHN2DWjNKqF,0
7sqZVLhTyLuzNF4Fgat3PnQzQmV7xLmHqQ9iFezbs1TY,0
D5i9Tm8hUQPwBL7g5gzeqXeGdCSbBRgwVbWvK7f3pump,0
3veWtHF8ZkduRCU9C4s4o8QzewJgGWEQxuWfQK8rDUZb,0
HGEnYnwDQ4nedp9am19X8AtXkvo6DVBsYYnS4iocZnDx,0
C6veTGyZ8jMoWLzKt5ta19RHAcQgF7Niqz2wMW9nc3cR,0
7BYiASUqt1C3kU9863qgoJwaw2e5zB8yJLpbPxwrnBSt,0
HTeR4PB68ZzNvDvkUHd13pYoPH5688RBfXtp3Pdbpump,0
9XWUzTYsRdyWdcQsJ7qibwgaJSNAm8aMKLLe2zbapump,0
Afu8DWguBUfxMegxpbvBdu6K2aBqLXBkffFCBb8eZAfM,0
6fDocYThAwhc91s2PNiH1MG2EVdjFjT7SpQnXmF4pump,0
F1y9uztgGJcDsYifXPA5aDBeva2WEv48YUQKi81PAGy1,0
